cohort,age_months,rate_mmcfd,floor
2024,12,1.8579063670000002,1.5
2024,13,1.7975865810322582,1.5
2024,14,1.663196246071429,1.5
2024,15,1.6169006272580648,1.5
2024,16,1.543366308387097,1.5
2024,17,1.537013459666667,1.5
2024,18,1.4533707825806454,1.5
2024,19,1.361146253666667,1.5
2024,20,1.3478111571370968,1.5
2024,21,1.322364637419355,1.5
2024,22,1.2131947484247312,1.5
2024,23,1.1623093035483874,1.5
2024,24,1.1893649204838712,1.5
2025,0,0.8147443045161291,1.5
2025,1,2.988212198333334,1.5
2025,2,3.2836975080645168,1.5
2025,3,3.134806176129033,1.5
2025,4,2.970385869392474,1.5
2025,5,2.7790390532258065,1.5
2025,6,2.4675558046666666,1.5
2025,7,2.340531107134409,1.5
2025,8,2.160348292903226,1.5
2025,9,1.9313039838064519,1.5
2025,10,1.8328329300000004,1.5
2025,11,1.6748281270967744,1.5
2025,12,1.5599983929032262,1.5
2025,13,1.3996013038709678,1.5
2025,14,1.3195166777419356,1.5
2025,15,1.3436369975698925,1.5
2025,16,1.3604133787096777,1.5
2025,17,1.2752138170000005,1.5
2026,0,1.1223011660000002,1.5
2026,1,3.5245570525430114,1.5
2026,2,3.222584090666667,1.5
2026,3,3.5009816423333335,1.5
2026,4,3.2171691700000005,1.5
2026,5,3.6037474193333336,1.5
2022,0,0.9818701729462367,2.0
2022,1,3.117904484763441,2.0
2022,2,3.726498278709678,2.0
2022,3,3.5154522610714296,2.0
2022,4,3.0611538703571437,2.0
2022,5,2.8976280941935486,2.0
2022,6,2.6214899238709677,2.0
2022,7,2.4642825496774194,2.0
2022,8,2.277680434333334,2.0
2022,9,2.1107596190000004,2.0
2022,10,1.9747182811290327,2.0
2022,11,1.7903291660714287,2.0
2022,12,1.7164652975806454,2.0
2022,13,1.6201833754462367,2.0
2022,14,1.515114548387097,2.0
2022,15,1.4577452486451614,2.0
2022,16,1.4236380835483875,2.0
2022,17,1.3734000748387096,2.0
2022,18,1.3221093031034485,2.0
2022,19,1.2722405470967741,2.0
2022,20,1.202864249354839,2.0
2022,21,1.1866916356666668,2.0
2022,22,1.1371902991935485,2.0
2022,23,1.1129351759408603,2.0
2022,24,1.0712885122580647,2.0
2023,0,0.9649153196666669,2.0
2023,1,3.43401824452381,2.0
2023,2,3.8131901712903233,2.0
2023,3,3.4648591693103454,2.0
2023,4,3.056958147666667,2.0
2023,5,2.775507583225807,2.0
2023,6,2.5419521060000005,2.0
2023,7,2.3472883661290327,2.0
2023,8,2.1926897230000004,2.0
2023,9,2.0275346426666667,2.0
2023,10,1.952732032419355,2.0
2023,11,1.8390130025000002,2.0
2023,12,1.7403311996774196,2.0
2023,13,1.6335896709677422,2.0
2023,14,1.5639931310107529,2.0
2023,15,1.507642722747696,2.0
2023,16,1.453598619354839,2.0
2023,17,1.3563123167741935,2.0
2023,18,1.3245366813333335,2.0
2023,19,1.2602335490967744,2.0
2023,20,1.2093519015000003,2.0
2023,21,1.1747182707142858,2.0
2023,22,1.1330132916666669,2.0
2023,23,1.084632152666667,2.0
2023,24,1.0604093062903228,2.0
2024,0,1.1595183030645162,2.0
2024,1,3.659385159591398,2.0
2024,2,4.28137005994086,2.0
2024,3,3.9195500734032267,2.0
2024,4,3.7547500387096777,2.0
2024,5,3.482853429666667,2.0
2024,6,3.1672729164516134,2.0
2024,7,2.9249305343010756,2.0
2024,8,2.6843728735483876,2.0
2024,9,2.510051160333334,2.0
2024,10,2.344668243225807,2.0
2024,11,2.1798283370967746,2.0
2024,12,2.0969868860000003,2.0
2024,13,1.991862998387097,2.0
2024,14,1.888670027435484,2.0
2024,15,1.7904552900000001,2.0
2024,16,1.7246522323333335,2.0
2024,17,1.676536902903226,2.0
2024,18,1.6266406493548389,2.0
2024,19,1.5276000036129034,2.0
2024,20,1.5353654403333334,2.0
2024,21,1.4714838061290323,2.0
2024,22,1.402699884,2.0
2024,23,1.3105171251612906,2.0
2024,24,1.3497993042261909,2.0
2025,0,1.0013426225806452,2.0
2025,1,3.5063509956451617,2.0
2025,2,3.7288905648387103,2.0
2025,3,3.5560763716129036,2.0
2025,4,3.3341785426666672,2.0
2025,5,3.074909786833334,2.0
2025,6,2.794017422489248,2.0
2025,7,2.609870248387097,2.0
2025,8,2.439951480833334,2.0
2025,9,2.164944899822581,2.0
2025,10,2.0852760758064517,2.0
2025,11,1.8489767928571432,2.0
2025,12,1.7608573943924735,2.0
2025,13,1.6634484939285716,2.0
2025,14,1.4483583735483874,2.0
2025,15,1.4898094773333335,2.0
2025,16,1.5045239356666669,2.0
2025,17,1.433894535666667,2.0
2026,0,1.3232922585714288,2.0
2026,1,4.168159865483871,2.0
2026,2,3.9009794776666666,2.0
2026,3,4.094196454021506,2.0
2026,4,3.7433582000000007,2.0
2026,5,3.8281134800000007,2.0
2022,0,1.085548653214286,2.5
2022,1,3.6281145623333337,2.5
2022,2,4.116281432000001,2.5
2022,3,3.896008838709678,2.5
2022,4,3.3956887757795706,2.5
2022,5,3.1457423412903234,2.5
2022,6,2.85751661639401,2.5
2022,7,2.7033383863602154,2.5
2022,8,2.482387978666667,2.5
2022,9,2.337035711290323,2.5
2022,10,2.1978274422580646,2.5
2022,11,1.9860531606451617,2.5
2022,12,1.9103505951397852,2.5
