ReportingFacilityID,name,operator,facility_type,twp,rge,mer,location,rate_bbld,month,lat,lon
ABGP0140036,CSV SIMONETTE 13-11 GAS PLANT,CSV MIDSTREAM SOLUTIONS CORP.,GP,62,27,5,13-11-062-27W5,31.323315742796584,2026-06,54.358274,-117.958401
ABGP0001697,SHINNING BANK GAS PLANT,ISH ENERGY LTD.,GP,56,17,5,10-12-056-17W5,31.11365499485283,2026-06,53.830097,-116.44936849999999
ABGP0001791,TRILOGY CLOVER 9-34 PLANT #2,PARAMOUNT RESOURCES LTD.,GP,60,18,5,09-34-060-18W5,30.924960321703452,2026-06,54.2120395,-116.62852649999999
ABGS0130269,FERRIER13-5-45-9W5 compressor stn,SPARTAN DELTA CORP.,GS,45,9,5,13-05-045-09W5,29.834724432395944,2026-06,52.885584,-115.237175
ABGS0170738,W MARTEN HILLS GGS 09-13-075-02W5,HEADWATER EXPLORATION INC.,GS,75,2,5,09-13-075-02W5,28.409031346378427,2026-06,55.518773,-114.209331
ABGS0006281,TLM COMPRESSOR 15-9,OUTLIER RESOURCES LTD.,GS,61,16,5,15-09-061-16W5,28.136472374051547,2026-06,54.2977035,-116.3413385
ABGS0117703,6-17-62-4W6  Kakwa compressor,WHITECAP RESOURCES INC.,GS,62,4,6,06-17-062-04W6,27.90584555131342,2026-06,54.3736365,-118.5279755
ABGS0127391,BXE WILGRN 4-29 TO GP 1386,SPARTAN DELTA CORP.,GS,42,8,5,04-29-042-08W5,27.04623648474404,2026-06,52.6330145,-115.0707165
ABGS0139937,OPEN CREEK 04/10-34-42-5W5 GGS,GRAN TIERRA CANADA LTD.,GS,42,5,5,10-34-042-05W5,26.920440035977787,2026-06,52.625774,-114.63506
ABGS0099007,PFI CARROT CREEK 08-36-051-14W5 GGS,VERMILION ENERGY INC.,GS,51,14,5,08-36-051-14W5,26.689813213239656,2026-06,53.407574499999996,-116.0002945
ABGS0133024,00/05-36-061-18W5 Fox Creek GS,SINOPEC CANADA ENERGY LTD.,GS,61,18,5,05-36-061-18W5,26.41725424091278,2026-06,54.254748,-116.653583
ABGS0098122,RMP Kaybob South GGS,HWN ENERGY LTD.,GS,60,19,5,10-22-060-19W5,25.93503452064215,2026-06,54.196463,-116.775463
ABGS0127362,Tourmaline Wolf Lake 16-10 Comp site,TOURMALINE OIL CORP.,GS,52,15,5,16-10-052-15W5,25.746339847492774,2026-06,53.490165,-116.132618
ABGS0003340,MarkervilleS-10-06-036-02 W5M,HARVEST OPERATIONS CORP.,GS,36,2,5,10-06-036-02W5,25.5576451743434,2026-06,52.0976775,-114.2397985
